Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,T1,C310,R03c,PT1C310R03c,PT1C310R03c,10/24/2014,10/24/2014,1,0,0,0,3,Construct,Code 01.,"A new lift was created, under the name of ""R03c"", with 0 quantities and with the date of the previous lift plus one day"".",Code 01a.,P-P-S-6810-0005,
P,T1,C309,R01,PT1C309R01,PT1C309R01,10/27/2014,10/28/2014,2,0,0,0,-643,Construct,Code 04.,"Lift ""C3-09  R01+C3-10-R03"" will be separated into ""C3-10 R03a"", ""C3-10 R03b"" and ""C3-09 R01"".  All quantities will be assigned to ""C3-10 R03a"".",Code 04a.,P-P-S-6810-0003,
P,T1,C309,F01,PT1C309F01,PT1C309F01,01/23/2013,01/23/2013,1,576,561,1,0,Construct,Code 03.,"Lift ""C3-08&09 F01"" will be separated into ""C3-08 F01"" and ""C3-09 f01"". All quantities will be assigned to C3-09-F01.",Code 03a.,P-P-S-6810-0003,
P,T1,C308,F01,PT1C308F01,PT1C308F01,01/23/2013,01/23/2013,1,0,0,1,516,Construct,Code 03.,"Lift ""C3-08&09 F01"" will be separated into ""C3-08 F01"" and ""C3-09 f01"". All quantities will be assigned to C3-09-F01.",Code 03a.,P-P-S-6810-0003,
P,T1,C308,W02a,PT1C308W02a,PT1C308W02a,06/23/2014,06/23/2014,1,72,77,1,1,Construct,,,,,
P,T1,C308,W02b,PT1C308W02b,PT1C308W02b,06/24/2014,06/24/2014,1,64,77,1,16,Construct,,,,,
P,T1,C308,W01a,PT1C308W01a,PT1C308W01a,07/10/2014,07/10/2014,1,77,73,1,11,Construct,,,,,
P,T1,C308,W01b,PT1C308W01b,PT1C308W01b,07/21/2014,07/21/2014,1,72,77,1,66,Construct,,,,,
P,T1,C308,R02,PT1C308R02,PT1C308R02,09/25/2014,09/25/2014,1,168,172,1,5,Construct,,,,,
P,T1,C308,R01,PT1C308R01,PT1C308R01,09/30/2014,09/30/2014,1,210,230,1,-606,Construct,,,,,
P,T1,C307,F01,PT1C307F01,PT1C307F01,02/01/2013,02/01/2013,1,324,310,1,501,Construct,,,,,
P,T1,C307,W02a,PT1C307W02a,PT1C307W02a,06/17/2014,06/21/2014,5,144,152,2,-504,Construct,,,,,
P,T1,C307,W02b,PT1C307W02b,PT1C307W02b,02/02/2013,02/02/2013,1,0,0,0,516,Construct,Code 01.,"A new row was created under the name of ""W02b"", with 0 quantities and with the dates of the previous lift plus one day.",Code 01a.,P-P-S-6810-0003,
P,T1,C307,W01a,PT1C307W01a,PT1C307W01a,07/03/2014,07/03/2014,1,72,72,1,12,Construct,,,,,
P,T1,C307,W01b,PT1C307W01b,PT1C307W01b,07/15/2014,07/16/2014,2,80,72,2,54,Construct,,,,,
P,T1,C307,R02,PT1C307R02,PT1C307R02,09/08/2014,09/08/2014,1,120,125,1,3,Construct,,,,,
P,T1,C307,R01,PT1C307R01,PT1C307R01,09/11/2014,09/11/2014,1,208,208,1,-93,Construct,,,,,
P,T1,C306,W02a,PT1C306W02a,PT1C306W02a,06/10/2014,06/10/2014,1,65,73,1,9,Construct,,,,,
P,T1,C306,W02b,PT1C306W02b,PT1C306W02b,06/19/2014,06/19/2014,1,85,71,1,4,Construct,,,,,
P,T1,C306,W01a,PT1C306W01a,PT1C306W01a,06/23/2014,06/23/2014,1,66,79,1,17,Construct,,,,,
P,T1,C306,W01b,PT1C306W01b,PT1C306W01b,07/10/2014,07/10/2014,1,72,61,1,44,Construct,Code 05.,Lift no named belonging to monolith C3-06 will be renamed as lift W01b for the monolith C3-06.,Code 05.,P-P-S-6810-0003,
P,T1,C306,R02,PT1C306R02,PT1C306R02,08/23/2014,08/23/2014,1,136,118,1,4,Construct,,,,,
P,T1,C306,R01,PT1C306R01,PT1C306R01,08/27/2014,08/27/2014,1,177,196,1,-102,Construct,,,,,
P,T1,C306,F01,PT1C306F01,PT1C306F01,05/17/2014,05/17/2014,1,625,597,1,0,Construct,Code 03.,"Lift ""C3-05&06 F01"" will be separated into ""C3-06 F01"" and ""C3-05 F01"". All quantities will be assigned to C3-06 F01.",Code 03a.,P-P-S-6810-0003,
P,T1,C305,F01,PT1C305F01,PT1C305F01,05/17/2014,05/17/2014,1,0,0,0,20,Construct,Code 03.,"Lift ""C3-05&06 F01"" will be separated into ""C3-06 F01"" and ""C3-05 F01"". All quantities will be assigned to C3-06 F01.",Code 03a.,P-P-S-6810-0003,
P,T1,C305,W02a,PT1C305W02a,PT1C305W02a,06/06/2014,06/06/2014,1,64,73,1,6,Construct,,,,,
P,T1,C305,W02b,PT1C305W02b,PT1C305W02b,06/12/2014,06/12/2014,1,71,62,1,7,Construct,,,,,
P,T1,C305,W01a,PT1C305W01a,PT1C305W01a,06/19/2014,06/19/2014,1,51,70,1,6,Construct,,,,,
P,T1,C305,W01b,PT1C305W01b,PT1C305W01b,06/25/2014,06/25/2014,1,72,60,1,44,Construct,,,,,
P,T1,C305,R02,PT1C305R02,PT1C305R02,08/08/2014,08/08/2014,1,133,123,1,5,Construct,,,,,
P,T1,C305,R01,PT1C305R01,PT1C305R01,08/13/2014,08/14/2014,2,188,185,2,-82,Construct,,,,,
P,T1,C304,F01,PT1C304F01,PT1C304F01,05/24/2014,05/24/2014,1,304,300,1,11,Construct,,,,,
P,T1,C304,W02a,PT1C304W02a,PT1C304W02a,06/04/2014,06/04/2014,1,72,79,1,1,Construct,,,,,
P,T1,C304,W02b,PT1C304W02b,PT1C304W02b,06/05/2014,06/05/2014,1,56,64,1,7,Construct,,,,,
P,T1,C304,W01a,PT1C304W01a,PT1C304W01a,06/12/2014,06/12/2014,1,64,70,1,5,Construct,,,,,
P,T1,C304,W01b,PT1C304W01b,PT1C304W01b,06/17/2014,06/17/2014,1,57,60,1,37,Construct,,,,,
P,T1,C304,R02,PT1C304R02,PT1C304R02,07/24/2014,07/24/2014,1,112,151,1,5,Construct,,,,,
P,T1,C304,R01,PT1C304R01,PT1C304R01,07/29/2014,07/29/2014,1,144,129,1,-484,Construct,,,,,
P,T1,C303,F01,PT1C303F01,PT1C303F01,04/01/2013,04/02/2013,2,728,722,2,-1,Construct,Code 04.,"Lift ""C3-03&C2-04 F01"" will be separated into ""C3-03 F01"" and ""C2-04 F01"".   All quantities will be asigned to C3-03 F01.",Code 04a.,P-P-S-6810-0003,
P,T1,C204,F01,PT1C204F01,PT1C204F01,04/01/2013,04/02/2013,2,0,0,0,406,Construct,Code 04.,"Lift ""C3-03&C2-04 F01"" will be separated into ""C3-03 F01"" and ""C2-04 F01"".   All quantities will be asigned to C3-03 F01.",Code 04a.,P-P-S-6810-0004,
P,T1,C303,W02a,PT1C303W02a,PT1C303W02a,05/13/2014,05/13/2014,1,56,83,1,6,Construct,,,,,
P,T1,C303,W02b,PT1C303W02b,PT1C303W02b,05/19/2014,05/19/2014,1,68,73,1,3,Construct,,,,,
P,T1,C303,W01a,PT1C303W01a,PT1C303W01a,05/22/2014,05/22/2014,1,80,79,1,4,Construct,,,,,
P,T1,C303,W01b,PT1C303W01b,PT1C303W01b,05/26/2014,05/28/2014,3,133,136,2,42,Construct,,,,,
P,T1,C303,R02,PT1C303R02,PT1C303R02,07/09/2014,07/09/2014,1,152,122,1,3,Construct,,,,,
P,T1,C303,R01,PT1C303R01,PT1C303R01,07/12/2014,07/12/2014,1,249,209,1,-81,Construct,,,,,
P,T1,C302,W02a,PT1C302W02a,PT1C302W02a,04/22/2014,05/08/2014,17,153,166,2,1,Construct,,,,,
