Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in Days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC
P,IW,M05,C02,PIWM05C02,PIWM05C02,12/27/2013,12/28/2013,2,1246,1239,2,26,Construct,,,,
P,IW,M05,C01,PIWM05C01,PIWM05C01,01/23/2014,01/23/2014,1,921,921,1,75,Construct,,,,
P,IW,M05,W05 a,PIWM05W05a,PIWM05W05a,04/08/2014,04/08/2014,1,260,251,1,46,Construct,,,,
P,IW,M05,W04 a,PIWM05W04a,PIWM05W04a,05/24/2014,05/24/2014,1,237,221,1,17,Construct,,,,
P,IW,M05,W03 a,PIWM05W03a,PIWM05W03a,06/10/2014,06/10/2014,1,200,177,1,80,Construct,,,,
P,IW,M05,W05 b,PIWM05W05b,PIWM05W05b,08/29/2014,08/30/2014,2,101.02,96,2,16,Construct,Code 05.,"Joining lifts ""W05b"" and ""W05B"" under the name of  ""W05b"".",Code 05a.,P-P-S-4222-0002
P,IW,M05,W05 c,PIWM05W05c,PIWM05W05c,09/15/2014,09/15/2014,1,47,38,1,21,Construct,,,,
P,IW,M05,W05 d,PIWM05W05d,PIWM05W05d,10/06/2014,10/06/2014,1,30,30,1,21,Construct,Code 05.,"Lift ""W05D"" will be renamed as ""W05d"".",Code 05a.,P-P-S-4222-0002
P,IW,M05,W04 b,PIWM05W04b,PIWM05W04b,10/27/2014,10/27/2014,1,62,62,1,19,Construct,,,,
P,IW,M05,W03 b,PIWM05W03b,PIWM05W03b,11/15/2014,11/15/2014,1,120,49,1,18,Construct,,,,
P,IW,M05,W02 b,PIWM05W02b,PIWM05W02b,12/03/2014,12/03/2014,1,57,46,1,9,Construct,,,,
P,IW,M05,W01 b,PIWM05W01b,PIWM05W01b,12/12/2014,12/12/2014,1,50,60,1,21,Construct,,,,
P,IW,M05,W01 a,PIWM05W01a,PIWM05W01a,01/02/2015,03/26/2015,84,63,68,2,-195,Construct,Code 05.,"Joining lifts ""W01a"" and ""W01 (2ndstage)"" under the name of ""W01a"".",Code 05a.,P-P-S-4222-0002
P,IW,M05,W02 a,PIWM05W02a,PIWM05W02a,09/12/2014,01/14/2015,125,87,123,3,-697,Construct,,,,
