Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Proces,,,RFC,Note,Corrections,Revision FR
P,UE,M07,W06,PUEM07W06,PUEM07W06,4/22/2014,4/22/2014,1,341,327,1,28,Construct,,,,,,,
P,UE,M07,W05,PUEM07W05,PUEM07W05,5/20/2014,5/20/2014,1,321,340,1,13,Construct,,,,,,,
P,UE,M07,W04,PUEM07W04,PUEM07W04,6/2/2014,6/2/2014,1,241,248,1,11,Construct,,,,,,,
P,UE,M07,W03,PUEM07W03,PUEM07W03,6/13/2014,6/14/2014,2,266,253,2,12,Construct,,,,,,,
P,UE,M07,W02,PUEM07W02,PUEM07W02,6/26/2014,6/27/2014,2,257,251,2,62,Construct,,,,,,,
P,UE,M07,W01,PUEM07W01,PUEM07W01,8/28/2014,8/28/2014,1,113,70,1,-758,Construct,,,,,,,
P,UE,M08,F02,PUEM08F02,PUEM08F02,7/31/2012,8/1/2012,2,856,874,2,13,Construct,,,,,,,
P,UE,M08,F01,PUEM08F01,PUEM08F01,8/14/2012,9/6/2012,24,868,910,3,21,Construct,,,,,,,
P,UE,M08,C04a,PUEM08C04a,PUEM08C04a,9/27/2012,9/27/2012,1,160,160,1,-7,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M08,C04b,PUEM08C04b,PUEM08C04b,9/20/2012,9/20/2012,1,196,196,1,14,Construct,,,,,,,
P,UE,M08,C04c,PUEM08C04c,PUEM08C04c,10/4/2012,10/4/2012,1,80,43,1,11,Construct,,,,,"model has wrong name, needs correction",FIXED,
P,UE,M08,C03a,PUEM08C03a,PUEM08C03a,10/15/2012,10/15/2012,1,168,159,1,-7,Construct,,,,,,,
P,UE,M08,C03b,PUEM08C03b,PUEM08C03b,10/8/2012,10/8/2012,1,204,204,1,9,Construct,,,,,,,
P,UE,M08,C03c,PUEM08C03c,PUEM08C03c,10/17/2012,10/17/2012,1,83,64,1,61,Construct,,,,,,,
P,UE,M08,C02,PUEM08C02,PUEM08C02,12/17/2012,12/18/2012,2,289,294,2,8,Construct,,,,,,,
P,UE,M08,C01,PUEM08C01,PUEM08C01,12/26/2012,1/11/2013,17,927,985,4,155,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1841-0001,"model has only one part, joining a and b in the table",,
P,UE,M08,W09,PUEM08W09,PUEM08W09,6/15/2013,6/15/2013,1,494,479,1,32,Construct,,,,,,,
P,UE,M08,W08,PUEM08W08,PUEM08W08,7/17/2013,7/18/2013,2,421,440,2,12,Construct,,,,,,,
P,UE,M08,W07,PUEM08W07,PUEM08W07,7/30/2013,7/31/2013,2,325,329,2,15,Construct,,,,,,,
P,UE,M08,W06,PUEM08W06,PUEM08W06,8/15/2013,8/15/2013,1,261,247,1,19,Construct,,,,,,,
P,UE,M08,W05,PUEM08W05,PUEM08W05,9/3/2013,9/4/2013,2,258,258,2,12,Construct,,,,,,,
P,UE,M08,W04,PUEM08W04,PUEM08W04,9/16/2013,9/16/2013,1,177,200,1,15,Construct,,,,,,,
P,UE,M08,W03,PUEM08W03,PUEM08W03,10/1/2013,10/1/2013,1,185,191,1,10,Construct,,,,,,,
P,UE,M08,W02,PUEM08W02,PUEM08W02,10/11/2013,10/12/2013,2,178,172,2,360,Construct,,,,,,,
P,UE,M08,W01,PUEM08W01,PUEM08W01,10/7/2014,10/8/2014,2,76,75,2,-1138,Construct,,,,,,,
P,UE,M09,F02,PUEM09F02,PUEM09F02,8/27/2011,8/27/2011,1,678,658,1,18,Construct,,,,,,,
P,UE,M09,F01,PUEM09F01,PUEM09F01,9/14/2011,9/27/2011,14,926,918,2,14,Construct,Code 02.,"Joining ""F01"" and ""F01 Chamfer"" under the name of ""F01"".",Code 02a.,P-P-S-1901-0001,,,"Joining poors to account Lift ""F01 Chamfer""."
P,UE,M09,C04a,PUEM09C04a,PUEM09C04a,10/11/2011,10/11/2011,1,232,232,1,87,Construct,,,,,model is not divided. Fix model,MODEL IS CORRECT,
P,UE,M09,C04b,PUEM09C04b,PUEM09C04b,1/6/2012,1/6/2012,1,200.04,103,1,-93,Construct,,,,,,,
P,UE,M09,C04c,PUEM09C04c,PUEM09C04c,10/5/2011,10/5/2011,1,80,80,1,22,Construct,,,,,,,
P,UE,M09,C03a,PUEM09C03a,PUEM09C03a,10/27/2011,10/28/2011,2,176,176,2,88,Construct,,,,,,,
P,UE,M09,C03b,PUEM09C03b,PUEM09C03b,1/24/2012,1/24/2012,1,211,189,1,-98,Construct,,,,,,,
P,UE,M09,C03c,PUEM09C03c,PUEM09C03c,10/18/2011,10/18/2011,1,80,80,1,118,Construct,,,,,,,
P,UE,M09,C02,PUEM09C02,PUEM09C02,2/13/2012,2/13/2012,1,302,299,1,14,Construct,,,,,,,
P,UE,M09,C01,PUEM09C01,PUEM09C01,2/27/2012,3/8/2012,11,1012.16,999,3,14,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1900-0002,"model has only one part, joining a and b in the table",,
P,UE,M09,W09,PUEM09W09,PUEM09W09,3/22/2012,3/23/2012,2,508,494,2,7,Construct,,,,,,,
P,UE,M09,W08,PUEM09W08,PUEM09W08,3/30/2012,3/31/2012,2,408,417,2,19,Construct,,,,,,,
P,UE,M09,W07,PUEM09W07,PUEM09W07,4/19/2012,4/20/2012,2,366,344,2,11,Construct,,,,,,,
P,UE,M09,W06,PUEM09W06,PUEM09W06,5/1/2012,5/1/2012,1,272,260,1,22,Construct,,,,,,,
P,UE,M09,W05,PUEM09W05,PUEM09W05,5/23/2012,5/23/2012,1,288,274,1,7,Construct,,,,,,,
P,UE,M09,W04,PUEM09W04,PUEM09W04,5/30/2012,5/31/2012,2,208,206,2,14,Construct,,,,,,,
P,UE,M09,W03,PUEM09W03,PUEM09W03,6/14/2012,6/14/2012,1,197,189,1,13,Construct,,,,,,,
P,UE,M09,W02,PUEM09W02,PUEM09W02,6/27/2012,6/27/2012,1,160,169,1,40,Construct,,,,,,,
P,UE,M09,W01,PUEM09W01,PUEM09W01,8/6/2012,12/2/2014,849,81,88,2,-1166,Construct,,,,,,,
P,UE,M10,F02,PUEM10F02,PUEM10F02,9/23/2011,9/23/2011,1,691.5,665,1,7,Construct,,,,,,,
P,UE,M10,F01,PUEM10F01,PUEM10F01,9/30/2011,9/30/2011,1,936,917,1,17,Construct,,,,,,,
P,UE,M10,C04a,PUEM10C04a,PUEM10C04a,10/17/2011,10/17/2011,1,248,248,1,102,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M10,C04b,PUEM10C04b,PUEM10C04b,1/27/2012,1/27/2012,1,216,88,1,-98,Construct,,,,,,,
P,UE,M10,C04c,PUEM10C04c,PUEM10C04c,10/21/2011,10/21/2011,1,80,80,1,20,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M10,C03a,PUEM10C03a,PUEM10C03a,11/10/2011,11/10/2011,1,168,168,1,86,Construct,,,,,model is not divided. Fix model,FIXED,
P,UE,M10,C03b,PUEM10C03b,PUEM10C03b,2/4/2012,2/4/2012,1,208,196,1,-89,Construct,,,,,,,
P,UE,M10,C03c,PUEM10C03c,PUEM10C03c,11/7/2011,11/7/2011,1,80,80,1,161,Construct,,,,,model is not divided. Fix model,FIXED,
