Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Notes,,
P,UW,M07,C04b,PUWM07C04b,PUWM07C04b,09/05/2013,09/05/2013,1,225,295,1,8,Construct,,,,,,,
P,UW,M07,C04c,PUWM07C04c,PUWM07C04c,09/13/2013,09/13/2013,1,129,123,1,-32,Construct,,,,,,,
P,UW,M07,C03a,PUWM07C03a,PUWM07C03a,08/12/2013,08/12/2013,1,169,221,1,49,Construct,,,,,,,
P,UW,M07,C03b,PUWM07C03b,PUWM07C03b,09/30/2013,10/01/2013,2,264,245,2,8,Construct,,,,,,,
P,UW,M07,C03c,PUWM07C03c,PUWM07C03c,10/09/2013,10/09/2013,1,124,118,1,15,Construct,,,,,,,
P,UW,M07,C02,PUWM07C02,PUWM07C02,10/24/2013,10/24/2013,1,401,406,1,4,Construct,,,,,,,
P,UW,M07,C01,PUWM07C01,PUWM07C01,10/28/2013,11/09/2013,13,1280,1354,4,16,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1321-0002,"Model has no separation, uniting a and b",,
P,UW,M07,W09,PUWM07W09,PUWM07W09,11/25/2013,11/25/2013,1,632,649,1,11,Construct,,,,,,,
P,UW,M07,W08,PUWM07W08,PUWM07W08,12/06/2013,12/06/2013,1,527,545,1,13,Construct,,,,,,,
P,UW,M07,W07,PUWM07W07,PUWM07W07,12/19/2013,12/20/2013,2,424,441,2,18,Construct,,,,,,,
P,UW,M07,W06,PUWM07W06,PUWM07W06,01/07/2014,01/07/2014,1,324,329,1,21,Construct,,,,,,,
P,UW,M07,W05,PUWM07W05,PUWM07W05,01/28/2014,01/28/2014,1,326,345,1,32,Construct,,,,,,,
P,UW,M07,W04,PUWM07W04,PUWM07W04,03/01/2014,03/01/2014,1,256,250,1,17,Construct,,,,,,,
P,UW,M07,W03,PUWM07W03,PUWM07W03,03/18/2014,03/18/2014,1,250,259,1,14,Construct,,,,,,,
P,UW,M07,W02,PUWM07W02,PUWM07W02,04/01/2014,04/01/2014,1,240,244,1,42,Construct,,,,,,,
P,UW,M07,W01,PUWM07W01,PUWM07W01,05/13/2014,05/13/2014,1,112,119,1,-522,Construct,,,,,,,
P,UW,M08,F02,PUWM08F02,PUWM08F02,12/07/2012,12/07/2012,1,854,908,2,14,Construct,,,,,,,
P,UW,M08,F01,PUWM08F01,PUWM08F01,12/21/2012,12/22/2012,2,880.04,950,3,34,Construct,,,,,,,
P,UW,M08,C04a,PUWM08C04a,PUWM08C04a,01/25/2013,01/25/2013,1,152,155,1,123,Construct,,,,,,,
P,UW,M08,C04b,PUWM08C04b,PUWM08C04b,05/28/2013,05/28/2013,1,210,197,1,-102,Construct,,,,,,,
P,UW,M08,C04c,PUWM08C04c,PUWM08C04c,02/15/2013,02/15/2013,1,97,77,1,19,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M08,C03a,PUWM08C03a,PUWM08C03a,03/06/2013,03/07/2013,2,161,259,2,96,Construct,,,,,,,
P,UW,M08,C03b,PUWM08C03b,PUWM08C03b,06/11/2013,06/13/2013,3,236,187,3,-24,Construct,,,,,,,
P,UW,M08,C03c,PUWM08C03c,PUWM08C03c,05/20/2013,05/20/2013,1,89,80,1,47,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M08,C02,PUWM08C02,PUWM08C02,07/06/2013,07/06/2013,1,286,294,1,6,Construct,,,,,,,
P,UW,M08,C01,PUWM08C01,PUWM08C01,07/12/2013,08/02/2013,22,954,984,4,20,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1342-0001,"Model has no separation, uniting a and b",,
P,UW,M08,W09,PUWM08W09,PUWM08W09,08/22/2013,08/23/2013,2,509,479,2,15,Construct,,,,,,,
P,UW,M08,W08,PUWM08W08,PUWM08W08,09/07/2013,09/07/2013,1,405,404,1,10,Construct,,,,,,,
P,UW,M08,W07,PUWM08W07,PUWM08W07,09/17/2013,09/18/2013,2,320,330,2,14,Construct,,,,,,,
P,UW,M08,W06,PUWM08W06,PUWM08W06,10/02/2013,10/02/2013,1,267,247,1,12,Construct,,,,,,,
P,UW,M08,W05,PUWM08W05,PUWM08W05,10/14/2013,10/14/2013,1,261,259,1,9,Construct,,,,,,,
P,UW,M08,W04,PUWM08W04,PUWM08W04,10/23/2013,10/23/2013,1,193,191,1,20,Construct,,,,,,,
P,UW,M08,W03,PUWM08W03,PUWM08W03,11/12/2013,11/12/2013,1,181,190,1,8,Construct,,,,,,,
P,UW,M08,W02,PUWM08W02,PUWM08W02,11/20/2013,11/20/2013,1,177,171,1,204,Construct,,,,,,,
P,UW,M08,W01,PUWM08W01,PUWM08W01,06/12/2014,06/12/2014,1,61,76,1,-1008,Construct,,,,,,,
P,UW,M09,F02,PUWM09F02,PUWM09F02,09/08/2011,09/08/2011,1,691,658,1,13,Construct,,,,,,,
P,UW,M09,F01,PUWM09F01,PUWM09F01,09/21/2011,10/01/2011,11,963,918,1,18,Construct,Code 02.,"Joining ""F01"" and ""F01 Chamfer"" under the name of ""F01"".",Code 02a.,P-P-S-1362-0002,"No cahmfer in the model, joining lifts",,
P,UW,M09,C04a,PUWM09C04a,PUWM09C04a,10/19/2011,10/19/2011,1,254,254,1,54,Construct,,,,,,,
P,UW,M09,C04b,PUWM09C04b,PUWM09C04b,12/12/2011,12/12/2011,1,210,83,1,-63,Construct,,,,,,,
P,UW,M09,C04c,PUWM09C04c,PUWM09C04c,10/10/2011,10/10/2011,1,80,80,1,29,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M09,C03a,PUWM09C03a,PUWM09C03a,11/08/2011,11/08/2011,1,165,165,1,63,Construct,,,,,,,
P,UW,M09,C03b,PUWM09C03b,PUWM09C03b,01/10/2012,01/10/2012,1,208,193,1,-75,Construct,,,,,,,
P,UW,M09,C03c,PUWM09C03c,PUWM09C03c,10/27/2011,10/27/2011,1,86,86,1,111,Construct,,,,,Table and model have correct name..review model.,,
P,UW,M09,C02,PUWM09C02,PUWM09C02,02/15/2012,02/16/2012,2,309,299,2,13,Construct,,,,,,,
P,UW,M09,C01,PUWM09C01,PUWM09C01,02/29/2012,03/10/2012,11,1032.14,999.14,2,25,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01"".",Code 02a.,P-P-S-1362-0002,"Model has no separation, uniting a and b",,
