Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,,,,
P,H3W,6E,F02,PH3W6EF02,PH3W6EF02,07/12/2012,07/12/2012,1,376,373,1,154,Construct,,,,,,,,
P,H3W,6E,F01,PH3W6EF01,PH3W6EF01,12/13/2012,12/14/2012,2,201,163,2,21,Construct,,,,,,,,
P,H3W,6E,W14a,PH3W6EW14a,PH3W6EW14a,01/04/2013,01/04/2013,1,120.54,85,1,-16,Construct,,,,,,,,
P,H3W,6E,W14b,PH3W6EW14b,PH3W6EW14b,12/19/2012,12/20/2012,2,133,203,2,15,Construct,,,,,,,,
P,H3W,6E,W14c,PH3W6EW14c,PH3W6EW14c,01/04/2013,01/04/2013,1,56.06,54,1,22,Construct,,,,,,,,
P,H3W,6E,W13a,PH3W6EW13a,PH3W6EW13a,01/26/2013,01/26/2013,1,114,123,1,-2,Construct,,,,,,,,
P,H3W,6E,W13b,PH3W6EW13b,PH3W6EW13b,01/24/2013,01/24/2013,1,336,313,1,14,Construct,,,,,,,,
P,H3W,6E,W13c,PH3W6EW13c,PH3W6EW13c,02/07/2013,02/07/2013,1,64.56,55,1,111,Construct,,,,,,,,
P,H3W,6E,W12,PH3W6EW12,PH3W6EW12,05/29/2013,05/30/2013,2,198,200,2,18,Construct,,,,,,,,
P,H3W,6E,W11,PH3W6EW11,PH3W6EW11,06/17/2013,06/18/2013,2,328,345,2,11,Construct,,,,,,,,
P,H3W,6E,W10,PH3W6EW10,PH3W6EW10,06/29/2013,08/01/2013,34,689,758,2,18,Construct,Code 02.,"Joining lifts ""W10a"" and ""W10b"" under the name of ""W10"".",Code 02a.,P-P-S-0746-0001,,,,
P,H3W,6E,W09a,PH3W6EW09a,PH3W6EW09a,08/19/2013,08/20/2013,2,196,180,2,-1,Construct,Code 03.,"Lift ""W09"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6E,W09b,PH3W6EW09b,PH3W6EW09b,08/19/2013,08/20/2013,2,0,0,0,14,Construct,Code 03.,"Lift ""W09"" will be separated into ""W09a"" and ""W09b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6E,W08a,PH3W6EW08a,PH3W6EW08a,09/03/2013,09/03/2013,1,167,180,1,0,Construct,Code 03.,"Lift ""W08 a&b"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6E,W08b,PH3W6EW08b,PH3W6EW08b,09/03/2013,09/03/2013,1,0,0,0,17,Construct,Code 03.,"Lift ""W08 a&b"" will be separated into ""W08a"" and ""W08b"".  All quantities will be assigned to ""W09a"".",Code 03a.,P-P-S-0747-0001,,,,
P,H3W,6E,W07,PH3W6EW07,PH3W6EW07,09/20/2013,09/20/2013,1,373,375,1,10,Construct,,,,,,,,
P,H3W,6E,W06,PH3W6EW06,PH3W6EW06,09/30/2013,10/01/2013,2,381,370,2,183,Construct,,,,,,,,
P,H3W,6E,W05,PH3W6EW05,PH3W6EW05,04/02/2014,04/02/2014,1,76,76,1,68,Construct,,,,,,,,
P,H3W,6E,W04,PH3W6EW04,PH3W6EW04,06/09/2014,06/09/2014,1,67,66,1,-508,Construct,,,,,,,,
P,H3C,5A,F03,PH3C5AF03,PH3C5AF03,01/17/2013,01/18/2013,2,689,706,2,22,Construct,,,,,,,,
