Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC Number,
P,H2E,3A,F05b,PH2E3AF05b,PH2E3AF05b,10/11/2011,10/11/2011,1,336,284,1,7,Construct,,,,,
P,H2E,3A,F05c,PH2E3AF05c,PH2E3AF05c,10/18/2011,10/19/2011,2,284,275,2,4,Construct,,,,,
P,H2E,3A,F04a,PH2E3AF04a,PH2E3AF04a,10/23/2011,10/23/2011,1,464,294,1,-1,Construct,,,,,
P,H2E,3A,F04b,PH2E3AF04b,PH2E3AF04b,10/22/2011,10/23/2011,2,411,294,2,9,Construct,,,,,
P,H2E,3A,F04c,PH2E3AF04c,PH2E3AF04c,11/01/2011,11/01/2011,1,296,286,1,41,Construct,,,,,
P,H2E,3A,F03,PH2E3AF03,PH2E3AF03,12/12/2011,01/11/2012,31,1762.14,1749,5,45,Construct,,,,,
P,H2E,3A,F02,PH2E3AF02,PH2E3AF02,02/25/2012,02/26/2012,2,682,665,2,13,Construct,Code 02.,Joining F02 and F02 chamfer.  All quantities ara assigned to F02.,Code 02a.,P-P-S-0403-0002,
P,H2E,3A,F01,PH2E3AF01,PH2E3AF01,03/10/2012,03/10/2012,1,635.98,640,1,16,Construct,,,,,
P,H2E,3A,W12a,PH2E3AW12a,PH2E3AW12a,03/26/2012,03/27/2012,2,997,1094,2,-1,Construct,Code 03.,"Lift ""3A W12"" will be separated into ""3A W12a"" and ""3A W12b"".  All quantities will be assigned to ""W12a"".",,P-P-S-0403-0003,
P,H2E,3A,W12b,PH2E3AW12b,PH2E3AW12b,03/26/2012,03/27/2012,2,0,0,0,16,Construct,Code 03.,"Lift ""3A W12"" will be separated into ""3A W12a"" and ""3A W12b"".  All quantities will be assigned to ""3A W12a"".",,P-P-S-0403-0003,
P,H2E,3A,W11,PH2E3AW11,PH2E3AW11,04/12/2012,04/17/2012,6,1021,941,3,14,Construct,,,,,
P,H2E,3A,W10,PH2E3AW10,PH2E3AW10,05/01/2012,05/01/2012,1,932,904,1,17,Construct,,,,,
P,H2E,3A,W09,PH2E3AW09,PH2E3AW09,05/18/2012,05/19/2012,2,872,901,2,137,Construct,,,,,
P,H2E,3A,W08,PH2E3AW08,PH2E3AW08,10/03/2012,10/04/2012,2,800,830,2,12,Construct,,,,,
P,H2E,3A,W07,PH2E3AW07,PH2E3AW07,10/16/2012,10/17/2012,2,625,630,2,28,Construct,,,,,
P,H2E,3A,W06,PH2E3AW06,PH2E3AW06,11/14/2012,11/15/2012,2,672.32,649,2,254,Construct,,,,,
P,H2E,3A,W05,PH2E3AW05,PH2E3AW05,07/27/2013,07/27/2013,1,578,580,1,25,Construct,,,,,
P,H2E,3A,W04,PH2E3AW04,PH2E3AW04,08/21/2013,08/21/2013,1,620,613,1,17,Construct,,,,,
P,H2E,3A,W03a,PH2E3AW03a,PH2E3AW03a,09/07/2013,09/15/2013,9,342,365,3,-12,Construct,,,,,
P,H2E,3A,W03b,PH2E3AW03b,PH2E3AW03b,09/03/2013,09/03/2013,1,414,485,1,17,Construct,,,,,
P,H2E,3A,W02,PH2E3AW02,PH2E3AW02,09/20/2013,07/22/2014,306,276,263,3,-295,Construct,Code 02.,Joining W02 and W02 c.  All quantities ara assigned to F02.,Code 02a.,P-P-S-0405-0012,
P,H2E,3A,W01,PH2E3AW01,PH2E3AW01,09/30/2013,09/11/2014,347,147,172,1,-1032,Construct,,,,,
P,H2E,3B,F07,PH2E3BF07,PH2E3BF07,11/14/2011,11/15/2011,2,792,720,2,38,Construct,,,,,
P,H2E,3B,F06,PH2E3BF06,PH2E3BF06,12/23/2011,06/16/2012,177,840,865,5,19,Construct,Code 02.,Joining F06 and F06b.  All quantities ara assigned to F06.,Code 02a.,P-P-S-0416-0002,
