Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,Revision Process,,,RFC,Note,Corrections
P,MW,M07,W06,PMWM07W06,PMWM07W06,05/17/2014,05/17/2014,1,352,350,1,17,Construct,,,,,,
P,MW,M07,W05,PMWM07W05,PMWM07W05,06/03/2014,06/03/2014,1,308,349,1,14,Construct,,,,,,
P,MW,M07,W04,PMWM07W04,PMWM07W04,06/17/2014,06/17/2014,1,272,280,1,15,Construct,,,,,,
P,MW,M07,W03,PMWM07W03,PMWM07W03,07/02/2014,07/02/2014,1,244,292,1,13,Construct,,,,,,
P,MW,M07,W02,PMWM07W02,PMWM07W02,07/15/2014,07/15/2014,1,256,248,1,48,Construct,,,,,,
P,MW,M07,W01,PMWM07W01,PMWM07W01,09/01/2014,09/01/2014,1,128,117,1,-859,Construct,,,,,,
P,MW,M08,F03,PMWM08F03,PMWM08F03,04/25/2012,04/26/2012,2,462,414,2,16,Construct,,,,,,
P,MW,M08,F02,PMWM08F02,PMWM08F02,05/12/2012,05/13/2012,2,820,779,2,11,Construct,,,,,,
P,MW,M08,F01,PMWM08F01,PMWM08F01,05/24/2012,12/19/2012,210,885,841,4,7,Construct,Code 02.,"Joining ""F01"", ""F01a"" ""F01b"" and ""F01c"" under the name of ""F01""",Code 02a.,P-P-S-2341-0002,"entry has no subdivisions in model, joining pours",
P,MW,M08,C04 a,PMWM08C04a,PMWM08C04a,12/26/2012,12/27/2012,2,185,154,2,8,Construct,,,,,,
P,MW,M08,C04 c,PMWM08C04c,PMWM08C04c,01/04/2013,01/04/2013,1,72,0,1,17,Construct,,,,,,
P,MW,M08,C03 a,PMWM08C03a,PMWM08C03a,01/21/2013,01/24/2013,4,185,182,2,-2,Construct,,,,,,
P,MW,M08,C03 c,PMWM08C03c,PMWM08C03c,01/22/2013,01/22/2013,1,92,76,1,0,Construct,,,,,,
P,MW,M08,C04 b,PMWM08C04b,PMWM08C04b,01/22/2013,01/22/2013,1,166,182,1,8,Construct,,,,,,
P,MW,M08,C03 b,PMWM08C03b,PMWM08C03b,01/30/2013,01/31/2013,2,192,200,2,9,Construct,,,,,,
P,MW,M08,C02,PMWM08C02,PMWM08C02,02/09/2013,02/09/2013,1,293,299,1,6,Construct,,,,,,
P,MW,M08,C01,PMWM08C01,PMWM08C01,02/15/2013,02/27/2013,13,1077,999,4,49,Construct,Code 02.,"Joining ""C01a"" and ""C01b"" under the name of ""C01""",Code 02a.,P-P-S-2341-0002,"entry has no subdivisions in model, joining pours",
P,MW,M08,W09,PMWM08W09,PMWM08W09,04/17/2013,04/18/2013,2,593,479,2,23,Construct,,,,,,
P,MW,M08,W08,PMWM08W08,PMWM08W08,05/11/2013,05/11/2013,1,401,404,1,13,Construct,,,,,,
P,MW,M08,W07,PMWM08W07,PMWM08W07,05/24/2013,05/25/2013,2,339,392,2,193,Construct,,,,,,
P,MW,M08,W06,PMWM08W06,PMWM08W06,12/04/2013,12/04/2013,1,284,264,1,15,Construct,,,,,,
P,MW,M08,W05,PMWM08W05,PMWM08W05,12/19/2013,12/19/2013,1,272,217,1,35,Construct,,,,,,
P,MW,M08,W04,PMWM08W04,PMWM08W04,01/23/2014,01/23/2014,1,222,217,1,51,Construct,,,,,,
P,MW,M08,W03,PMWM08W03,PMWM08W03,03/15/2014,03/15/2014,1,214,211,1,20,Construct,,,,,,
P,MW,M08,W02,PMWM08W02,PMWM08W02,04/04/2014,04/04/2014,1,200,175,1,130,Construct,,,,,,
P,MW,M08,W01,PMWM08W01,PMWM08W01,08/12/2014,08/12/2014,1,67,76,1,-1035,Construct,,,,,,
P,MW,M09,F03,PMWM09F03,PMWM09F03,10/12/2011,10/12/2011,1,461,429,1,45,Construct,,,,,,
P,MW,M09,F02,PMWM09F02,PMWM09F02,11/26/2011,11/26/2011,1,808,787,1,9,Construct,,,,,,
