Side,Structure,Monolith,Lift,Collated,Name,Actual Start,Actual End,Duration in days,Actual Quantity,Design Quantity,Number of Pours,Days before next lift,Activity Type,,Revision Process,,RFC Number
A,T1,C305,W01a,AT1C305W01a,AT1C305W01a,09/07/2013,09/07/2013,1,179,135,1,0,Construct,Code 04.,"Lift ""C3-05/06 W01a"" will be divided into ""C3-05 W01a"" and ""C3-06 W01a"".  All quantities will be assigned to ""C3-05 W01a"".",Code 04a.,A-P-S-6810-0003
A,T1,C306,W01a,AT1C306W01a,AT1C306W01a,09/07/2013,09/07/2013,1,0,0,0,19,Construct,Code 04.,"Lift ""C3-05/06 W01a"" will be divided into ""C3-05 W01a"" and ""C3-06 W01a"".  All quantities will be assigned to ""C3-05 W01a"".",Code 04a.,A-P-S-6810-0003
A,T1,C305,W01b,AT1C305W01b,AT1C305W01b,09/26/2013,09/26/2013,1,89,65,1,29,Construct,,,,
A,T1,C305,R02,AT1C305R02,AT1C305R02,10/25/2013,10/25/2013,1,80,147,1,5,Construct,,,,
A,T1,C305,R01,AT1C305R01,AT1C305R01,10/30/2013,10/30/2013,1,265,237,1,-106,Construct,,,,
A,T1,C304,F01,AT1C304F01,AT1C304F01,07/16/2013,07/17/2013,2,384,361,2,75,Construct,,,,
A,T1,C304,W01a,AT1C304W01a,AT1C304W01a,09/30/2013,09/30/2013,1,84,65,1,-74,Construct,,,,
A,T1,C304,W02a,AT1C304W02a,AT1C304W02a,07/18/2013,07/18/2013,1,0,0,0,81,Construct,Code 01.,"A new row was created under the name of C03-04 W01b"" with 0 quantities and the dates of the preivous lift plus one day.",Code 01b.,A-P-S-6810-0004
A,T1,C304,W02b,AT1C304W02b,AT1C304W02b,10/07/2013,10/10/2013,4,156,166,3,7,Construct,,,,
A,T1,C304,W01b,AT1C304W01b,AT1C304W01b,10/17/2013,10/17/2013,1,76,70,1,26,Construct,,,,
A,T1,C304,R02,AT1C304R02,AT1C304R02,11/12/2013,11/13/2013,2,136,183,2,3,Construct,,,,
A,T1,C304,R01,AT1C304R01,AT1C304R01,11/16/2013,11/16/2013,1,247,235,1,-129,Construct,,,,
A,T1,C303,F01,AT1C303F01,AT1C303F01,07/10/2013,09/20/2013,73,451,408,4,1,Construct,Code 02.,"Joining Lifts ""C03-03 F01"" and ""C03-03/04 F01"" under the name of ""C03-03 F01"".",Code 02a.,A-P-S-6810-0003
A,T1,C303,W02a,AT1C303W02a,AT1C303W02a,09/21/2013,09/21/2013,1,0,0,0,-8,Construct,Code 01.,"A new row was created under the name of C03-03 W01b"" with 0 quantities and the dates of the preivous lift plus one day.",Code 01b.,A-P-S-6810-0004
A,T1,C303,W02b,AT1C303W02b,AT1C303W02b,09/13/2013,09/13/2013,1,183,136,1,24,Construct,Code 05.,"Lift ""C3-03/04 W02b"" will be renamed as ""C3-03 W02b""",Code 05a.,A-P-S-6810-0004
A,T1,C303,W01a,AT1C303W01a,AT1C303W01a,10/07/2013,10/07/2013,1,104,65,1,26,Construct,,,,
A,T1,C303,W01b,AT1C303W01b,AT1C303W01b,11/02/2013,11/02/2013,1,72,83,1,27,Construct,,,,
A,T1,C303,R02,AT1C303R02,AT1C303R02,11/29/2013,11/29/2013,1,155,128,1,6,Construct,,,,
A,T1,C303,R01,AT1C303R01,AT1C303R01,12/05/2013,12/07/2013,3,222,218,3,-162,Construct,,,,
A,T1,C302,F01,AT1C302F01,AT1C302F01,06/28/2013,10/24/2013,119,388,363,4,21,Construct,Code 02.,"Joining pours ""F01"", ""F01b"" and ""F01(b)"" under the name of ""F01"".",Code 02a.,A-P-S-6810-0003
A,T1,C302,W02b,AT1C302W02b,AT1C302W02b,11/14/2013,11/15/2013,2,68,83,2,6,Construct,,,,
A,T1,C302,W01a,AT1C302W01a,AT1C302W01a,11/21/2013,11/27/2013,7,121,103,2,13,Construct,,,,
A,T1,C302,W01b,AT1C302W01b,AT1C302W01b,12/10/2013,12/11/2013,2,44,70,2,8,Construct,,,,
A,T1,C302,R02,AT1C302R02,AT1C302R02,12/19/2013,12/20/2013,2,118,128,2,6,Construct,,,,
A,T1,C302,R01,AT1C302R01,AT1C302R01,12/26/2013,12/27/2013,2,232,222,2,-174,Construct,,,,
A,T1,C301,F01,AT1C301F01,AT1C301F01,07/06/2013,07/06/2013,1,393,430,1,110,Construct,,,,
A,T1,C301,W02a,AT1C301W02a,AT1C301W02a,10/24/2013,10/24/2013,1,177,157,1,0,Construct,Code 04.,"Lift ""C3-01/02 W02a"" will be divided into ""C3-01 W02a"" and ""C3-02 W02a"".  All quantities will be assigned to ""C3-01 W02a"".",Code 04a.,A-P-S-6810-0003
A,T1,C302,W02a,AT1C302W02a,AT1C302W02a,10/24/2013,10/24/2013,1,0,0,0,43,Construct,Code 04.,"Lift ""C3-01/02 W02a"" will be divided into ""C3-01 W02a"" and ""C3-02 W02a"".  All quantities will be assigned to ""C3-01 W02a"".",Code 04a.,A-P-S-6810-0003
