id,date,global_area,area,structure,monolith,lift,side,name,icl_found,defects,ncr,cod,formwork_defects,rebar_defects
4217,11/20/2013 0:00,LUC WSB,WSB Conduit ,T1,C310,P05,A,AT1C310P05,Yes,2,0,0,1,1
4218,11/21/2013 0:00,LUC WSB,WSB Conduit ,T2,C103,F01b,A,AT2C103F01b,Yes,0,0,0,0,0
4219,11/21/2013 0:00,LUC WSB,WSB Conduit ,T1,C311,P04,A,AT1C311P04,No,0,0,0,0,0
4220,11/22/2013 0:00,LUC WSB,WSB Conduit ,T2,C204,W02,A,AT2C204W02,Yes,0,0,1,0,0
4221,11/23/2013 0:00,LUC WSB,Dividing Wall ,DW,U05F,W02,A,ADWU05FW02,No,0,0,0,0,0
4222,11/26/2013 0:00,LUC WSB,Trifurcation ,TRF2,R,8,A,ATRF2R08,Yes,0,0,0,0,0
4223,11/26/2013 0:00,LUC WSB,WSB Conduit ,T2,C201,W02,A,AT2C201W02,Yes,0,0,0,0,0
4224,11/26/2013 0:00,LUC WSB,WSB Conduit ,T1,C308,R03,A,AT1C308R03,Yes,0,0,0,0,0
4225,11/26/2013 0:00,LUC WSB,WSB Conduit ,T1,C308,R02,A,AT1C308R02,Yes,0,0,0,0,0
4226,11/26/2013 0:00,LUC WSB,WSB Conduit ,T1,C309,R03,A,AT1C309R03,Yes,0,0,0,0,0
4227,11/26/2013 0:00,LUC WSB,WSB Conduit ,T1,C309,R02a,A,AT1C309R02a,Yes,0,0,0,0,0
4228,11/26/2013 0:00,LUC WSB,WSB Conduit ,T1,C309,R02b,A,AT1C309R02b,Yes,0,0,0,0,0
4229,11/27/2013 0:00,LUC WSB,WSB Conduit ,T2,C205,P01,A,AT2C205P01,Yes,1,0,0,1,0
4230,11/27/2013 0:00,LUC WSB,WSB Conduit ,T2,C205,P02,A,AT2C205P02,Yes,1,0,0,1,0
4231,11/27/2013 0:00,LUC WSB,WSB Conduit ,T2,C206,P01,A,AT2C206P01,Yes,1,0,0,1,0
4232,11/27/2013 0:00,LUC WSB,WSB Conduit ,T2,C206,P02,A,AT2C206P02,Yes,1,0,0,1,0
4233,11/27/2013 0:00,LUC WSB,WSB Conduit ,T2,C301,W01a,A,AT2C301W01a,Yes,0,0,0,0,0
4234,11/27/2013 0:00,LUC WSB,WSB Conduit ,T2,C302,W01b,A,AT2C302W01b,Yes,0,0,0,0,0
4235,11/27/2013 0:00,LUC WSB,WSB Conduit ,T1,C302,W01a,A,AT1C302W01a,Yes,0,0,0,0,0
4236,11/29/2013 0:00,LUC WSB,WSB Conduit ,T1,C310,W05b,A,AT1C310W05b,Yes,2,0,0,2,0
4237,11/29/2013 0:00,LUC WSB,WSB Conduit ,T1,C310,W04a,A,AT1C310W04a,Yes,3,0,1,2,0
4238,11/29/2013 0:00,LUC WSB,WSB Conduit ,T1,C303,R02,A,AT1C303R02,Yes,1,0,0,1,0
4239,11/30/2013 0:00,LUC WSB,Trifurcation ,TRF2,P5,3,A,ATRF2P503,No,0,0,0,0,0
4240,11/30/2013 0:00,LUC WSB,Trifurcation ,TRF2,P5,4,A,ATRF2P504,No,0,0,0,0,0
4241,12/3/2013 0:00,LUC WSB,WSB Conduit ,T2,C310,P02,A,AT2C310P02,Yes,0,0,0,0,0
4242,12/4/2013 0:00,LUC WSB,Trifurcation ,TRF2,R,7,A,ATRF2R07,Yes,2,0,0,2,0
4243,12/5/2013 0:00,LUC WSB,WSB Conduit ,T2,C310,W04a,A,AT2C310W04a,No,0,0,0,0,0
4244,12/5/2013 0:00,LUC WSB,Dividing Wall ,DW,U06B,W02,A,ADWU06BW02,Yes,1,0,0,1,0
4245,12/7/2013 0:00,LUC WSB,Trifurcation ,TRF2,P1,1,A,ATRF2P101,No,0,0,0,0,0
4246,12/7/2013 0:00,LUC WSB,Trifurcation ,TRF2,P1,2,A,ATRF2P102,No,0,0,0,0,0
4247,12/7/2013 0:00,LUC WSB,Trifurcation ,TRF2,P2,3,A,ATRF2P203,Yes,0,0,0,0,0
4248,12/7/2013 0:00,LUC WSB,WSB Conduit ,T2,C301,W02b,A,AT2C301W02b,Yes,3,0,0,2,1
4249,12/7/2013 0:00,LUC WSB,WSB Conduit ,T2,C302,R01,A,AT2C302R01,Yes,0,0,0,0,0
4250,12/7/2013 0:00,LUC WSB,WSB Conduit ,T2,C302,R02,A,AT2C302R02,Yes,0,0,0,0,0
4251,12/7/2013 0:00,LUC WSB,WSB Conduit ,T1,C303,R01,A,AT1C303R01,Yes,2,0,0,2,0
4252,12/11/2013 0:00,LUC WSB,WSB Conduit ,T2,C205,W01,A,AT2C205W01,Yes,0,0,0,0,0
4253,12/11/2013 0:00,LUC WSB,WSB Conduit ,T2,C206,W01,A,AT2C206W01,Yes,0,0,0,0,0
4254,12/11/2013 0:00,LUC WSB,WSB Conduit ,T1,C310,W04b,A,AT1C310W04b,Yes,0,0,0,0,0
4255,12/11/2013 0:00,LUC WSB,WSB Conduit ,T1,C302,W01b,A,AT1C302W01b,Yes,5,0,0,2,3
4256,12/12/2013 0:00,LUC WSB,Trifurcation ,TRF2,P5,1,A,ATRF2P501,Yes,0,0,0,0,0
4257,12/12/2013 0:00,LUC WSB,Trifurcation ,TRF2,P5,2,A,ATRF2P502,Yes,0,0,0,0,0
4258,12/12/2013 0:00,LUC WSB,WSB Conduit ,T1,C311,W03b,A,AT1C311W03b,Yes,0,0,0,0,0
4259,12/13/2013 0:00,LUC WSB,Trifurcation ,TRF2,P4,3,A,ATRF2P403,No,0,0,0,0,0
4260,12/13/2013 0:00,LUC WSB,WSB Conduit ,T2,C301,W01b,A,AT2C301W01b,Yes,4,0,0,2,1
4261,12/14/2013 0:00,LUC WSB,WSB Conduit ,T1,C301,W01a,A,AT1C301W01a,Yes,2,0,0,2,0
4262,12/16/2013 0:00,LUC WSB,Trifurcation ,TRF2,R,6,A,ATRF2R06,No,0,0,0,0,0
4263,12/17/2013 0:00,LUC WSB,Trifurcation ,TRF2,P2,1,A,ATRF2P201,Yes,2,0,0,2,0
4264,12/17/2013 0:00,LUC WSB,Trifurcation ,TRF2,P2,2,A,ATRF2P202,Yes,2,0,0,2,0
4265,12/17/2013 0:00,LUC WSB,WSB Conduit ,T1,C311,W04b(Kicker),A,AT1C311W04b(Kicker),No,0,0,0,0,0
4266,12/17/2013 0:00,LUC WSB,WSB Conduit ,T1,C206,W02,A,AT1C206W02,Yes,1,0,1,0,1
4267,12/19/2013 0:00,LUC WSB,WSB Conduit ,T2,C204,W01,A,AT2C204W01,Yes,0,0,1,0,0
4268,12/20/2013 0:00,LUC WSB,Trifurcation ,TRF2,P4,1,A,ATRF2P401,No,0,0,0,0,0
4269,12/20/2013 0:00,LUC WSB,Trifurcation ,TRF2,P4,2,A,ATRF2P402,No,0,0,0,0,0
4270,12/20/2013 0:00,LUC WSB,WSB Conduit ,T1,C302,R02,A,AT1C302R02,Yes,0,0,0,0,0
4271,12/23/2013 0:00,LUC WSB,WSB Conduit ,T2,C310,W03a,A,AT2C310W03a,Yes,0,0,0,0,0
4272,12/24/2013 0:00,LUC WSB,Valve Structure ,VS1,,W06,A,AVS1W06,Yes,0,0,1,0,0
4273,12/26/2013 0:00,LUC WSB,Trifurcation ,TRF1,R,4,A,ATRF1R04,No,0,0,0,0,0
4274,12/26/2013 0:00,LUC WSB,WSB Conduit ,T1,C301,W02b,A,AT1C301W02b,Yes,0,0,0,0,0
4275,12/27/2013 0:00,LUC WSB,WSB Conduit ,T1,C311,W03a,A,AT1C311W03a,Yes,0,0,0,0,0
4276,12/27/2013 0:00,LUC WSB,WSB Conduit ,T1,C302,R01,A,AT1C302R01,Yes,0,0,0,0,0
4277,12/28/2013 0:00,LUC WSB,WSB Conduit ,T2,C301,R01,A,AT2C301R01,Yes,6,0,0,3,3
4278,12/28/2013 0:00,LUC WSB,WSB Conduit ,T2,C301,R02,A,AT2C301R02,Yes,6,0,0,3,3
4279,12/30/2013 0:00,LUC WSB,WSB Conduit ,T2,C201,W01,A,AT2C201W01,No,0,0,0,0,0
4280,3/12/2012 0:00,LMC,Conduit 3,CC3,G,5,A,ACC3G05,Yes,2,0,0,0,2
4281,3/19/2012 0:00,LMC,Conduit 3,CC3,G,4,A,ACC3G04,Yes,2,0,0,0,2
4282,3/19/2012 0:00,LMC,Conduit 3,CC3,H,4,A,ACC3H04,Yes,0,0,0,0,0
4283,3/26/2012 0:00,LMC,Conduit 3,CC3,H,3,A,ACC3H03,Yes,2,0,0,1,1
4284,3/27/2012 0:00,LMC,Conduit 3,CC3,G,3,A,ACC3G03,Yes,5,0,0,3,1
4285,4/2/2012 0:00,LMC,Conduit 3,CC3,G,2,A,ACC3G02,Yes,1,0,0,0,1
4286,4/2/2012 0:00,LMC,Conduit 3,CC3,H,2,A,ACC3H02,Yes,0,0,0,0,0
4287,4/13/2012 0:00,LMC,Conduit 4,CC4,H,5,A,ACC4H05,Yes,2,0,0,0,2
