original_lift,lift,rebar_units,actual_start
T3-C3-06-R02-20,PT3C306R02,12108,11/24/2014
T3-C3-01-F01-20,PT3C301F01,39941,06/05/2014
T3-C3-02-F01-20,PT3C302F01,0,06/18/2014
T3-C3-03-F01-20,PT3C303F01,55480,07/11/2014
T3-C3-04-F01-20,PT3C304F01,28903,07/23/2014
T3-C3-05-F01-20,PT3C305F01,28969,07/24/2014
T3-C3-06-F01-20,PT3C306F01,28622,07/24/2014
T3-C3-07-F01-20,PT3C307F01,35324,08/04/2014
T3-C3-08-F01-20,PT3C308F01,36571,08/11/2014
T3-C3-09-F01-20,PT3C309F01,16780,08/30/2014
T3-C3-10-F01-20,PT3C310F01,24870,09/06/2014
T3-C3-11-F01a-20,PT3C311F01a,17376,11/17/2014
T3-C3-11-F01b-20,PT3C311F01b,17828,12/15/2014
T3-C3-12-F01a-20,PT3C312F01a,16788,01/05/2015
