lift,actual_start,actual_quantity
ALWM02W02,09/16/2013,111
ALWM02W01,07/10/2014,80
ALWM03F02,05/22/2012,1056
ALWM03F01,06/01/2012,880
ALWM03C04a,07/07/2012,134
ALWM03C03a,07/11/2012,123
ALWM03C04b,10/31/2012,200
ALWM03C03b,11/12/2012,224
ALWM03C04c,11/29/2012,88
ALWM03C03c,12/11/2012,80
ALWM03C02,12/18/2012,280
ALWM03C01,12/27/2012,948
ALWM03W07,02/13/2013,420
ALWM03W06,02/25/2013,328
ALWM03W05,03/04/2013,328
ALWM03W04,03/18/2013,312
ALWM03W03b,04/30/2013,160
ALWM03W03a,05/17/2013,148
ALWM03W02,09/28/2013,131
ALWM03W01,02/10/2015,80
ALWM04F02,04/12/2012,624
ALWM04F01,04/24/2012,576
ALWM04C04a,06/23/2012,68
ALWM04C04b,06/29/2012,141
ALWM04C03b,07/04/2012,136
ALWM04C03a,07/04/2012,102
ALWM04C04c,11/02/2012,48
ALWM04C03c,11/08/2012,64
ALWM04C02,11/19/2012,228
ALWM04C01,12/05/2012,576
ALWM04W07,03/04/2013,272
ALWM04W06,06/14/2013,223
ALWM04W05,06/19/2013,200
ALWM04W04,06/26/2013,165
ALWM04W03b,07/04/2013,108
ALWM04W03a,07/13/2013,87
ALWM04W02,07/22/2013,63
ALWM04W01,02/21/2015,37
ALWM05F03,05/14/2013,1157
ALWM05F02,05/20/2013,966
ALWM05F01,05/25/2013,1072
ALWM05C04a,08/29/2013,143
ALWM05C04c,09/02/2013,64
ALWM05C03a,09/03/2013,154
ALWM05C03c,09/06/2013,100
ALWM05C04b,09/12/2013,256
ALWM05C03b,09/18/2013,317
ALWM05C02,09/23/2013,457
ALWM05C01,09/26/2013,1313
ALWM05W07,10/09/2013,579
ALWM05W06,10/26/2013,516
ALWM05W05,11/06/2013,458
ALWM05W04,11/19/2013,328
ALWM05W03b,12/03/2013,231
ALWM05W03a,12/13/2013,234
ALWM05W02,01/07/2014,208
ALWM05W01,02/28/2015,109
ALWM06F02,05/30/2013,580
ALWM06F01,06/04/2013,517
ALWM06C04a,09/16/2013,56
ALWM06C04c,09/16/2013,48
ALWM06C03c,09/19/2013,76
ALWM06C03a,09/20/2013,53
ALWM06C04b,09/26/2013,144
ALWM06C03b,10/03/2013,124
ALWM06C02,10/11/2013,183
ALWM06C01,10/15/2013,603
ALWM06W07,11/14/2013,265
ALWM06W06,11/28/2013,198
ALWM06W05,12/10/2013,187
ALWM06W04,12/30/2013,156
ALWM06W03b,01/16/2014,96
ALWM06W03a,02/04/2014,104
ALWM06W02,03/08/2014,90
ALWM06W01,05/19/2014,40
ALWM07F02,10/30/2013,969
ALWM07F01,11/07/2013,1037
ALWM07C04c,11/28/2013,117
ALWM07C04a,12/03/2013,152
ALWM07C03a,12/06/2013,162
ALWM07C03c,12/06/2013,114
ALWM07C04b,12/13/2013,238
ALWM07C03b,12/20/2013,248
ALWM07C02,01/15/2014,402
ALWM07C01,01/20/2014,1283
ALWM07W07,01/30/2014,515
ALWM07W06,02/25/2014,445
ALWM07W05,03/08/2014,368
ALWM07W04,03/26/2014,306
ALWM07W03b,04/09/2014,208
ALWM07W03a,04/21/2014,208
ALWM07W02,05/13/2014,184
ALWM07W01,06/10/2014,136
ALWM08F02,07/16/2013,1288
ALWM08F01,07/24/2013,808
ALWM08C04c,09/28/2013,86
ALWM08C03c,10/03/2013,82
ALWM08C04b,10/10/2013,172
ALWM08C03b,10/16/2013,192
ALWM08C04a,10/26/2013,108
ALWM08C03a,11/01/2013,101
ALWM08C02,11/09/2013,255
ALWM08C01,11/15/2013,1033
ALWM08W07,11/27/2013,404
ALWM08W06,01/10/2014,331
ALWM08W05,01/18/2014,302
ALWM08W04,01/29/2014,221
ALWM08W03b,03/08/2014,126
ALWM08W03a,03/19/2014,192
ALWM08W02,04/02/2014,132
ALWM08W01,05/19/2014,72
ALWM09F02,04/10/2012,995
ALWM09F01,04/19/2012,946
ALWM09C04a,05/22/2012,81
ALWM09C03a,06/06/2012,120
ALWM09C04c,06/09/2012,94
ALWM09C03c,06/13/2012,96
ALWM09C04b,07/12/2012,200
ALWM09C03b,07/18/2012,184
ALWM09C02,08/06/2012,300
ALWM09C01,08/21/2012,990
ALWM09W07,09/04/2012,408
